"Laufende
Nummer";"Regional-
schlüssel";"Gemeinde-
schlüsselnr.";"Vgem-
schlüssel";Bezeichnung;Spalte001;Spalte002;Spalte003;Spalte004;Spalte005;Spalte006;Spalte007;Spalte008;Spalte009;Spalte010;Spalte011;Spalte012;Spalte013;Spalte014;Spalte015;Spalte016;Spalte017;Spalte018;Spalte019;Spalte020;Spalte021;Spalte022;Spalte023;Spalte024;Spalte025;Spalte026;Spalte027;Spalte028;Spalte029;Spalte030;Spalte031;Spalte032;Spalte033;Spalte034;Spalte035;Spalte036;Spalte037;Spalte038;Spalte039;Spalte040;Spalte041;Spalte042;Spalte043;Spalte044;Spalte045;Spalte046;Spalte047;Spalte048;Spalte049;Spalte050;Spalte051;Spalte052;Spalte053;Spalte054;Spalte055;Spalte056;Spalte057;Spalte058;Spalte059;Spalte060;Spalte061;Spalte062;Spalte063;Spalte064;Spalte065;Spalte066;Spalte067;Spalte068;Spalte069;Spalte070;Spalte071;Spalte072;Spalte073;Spalte074;Spalte075;Spalte076;Spalte077;Spalte078;Spalte079;Spalte080;Spalte081;Spalte082;Spalte083;Spalte084;Spalte085;Spalte086;Spalte087;Spalte088;Spalte089;Spalte090;Spalte091;Spalte092;Spalte093;Spalte094;Spalte095;Spalte096;Spalte097;Spalte098;Spalte099;Spalte100;Spalte101;Spalte102;Spalte103;Spalte104;Spalte105;Spalte106;Spalte107;Spalte108;Spalte109;Spalte110;Spalte111;Spalte112;Spalte113;Spalte114;Spalte115;Spalte116;Spalte117;Spalte118;Spalte119;Spalte120;Spalte121;Spalte122;Spalte123;Spalte124;Spalte125;Spalte126;Spalte127;Spalte128;Spalte129;Spalte130;Spalte131;Spalte132;Spalte133;Spalte134;Spalte135;Spalte136;Spalte137;Spalte138;Spalte139;Spalte140;Spalte141;Spalte142;Spalte143;Spalte144;Spalte145
11;9173;;;Insgesamt;1110.6871;4005.58;251.54;531.52;2654.85;2562.97;34154.18;61567.08;4300.89;3603.07;7327.46;98579;119178;124930;61462;26.730845312;4.826394133;88.754738046;112.47962978;6768;10824;4098;9835;7100;32935;27044;26326;1077;1132;1211;1276;-144;9820;10488;8512;8777;1711;4893;4479;2876;34;6469;430;5;3023;192;7;3945;330;1;1950;35459;18455;17004;4817;363;12105;8620;4809;9560;23005;64.8777461293325;47607;35172;73.879891612578;-12167;25;143;278;485;126;13;1070;1045;43505;19006;780;2168;1475;1332;82;7522;346456;120792;99.5;115430;95.1;115430;95.1;9020;136.3;325;1872;224;571;233;159;42;32;644;160;209;275;27572;59302;8988;25266;25048;264100;8334;375145;1188784;719;558;161;728;16;1167;1058;950;619;1161;1508;61176;2371299.346;38761.9220936315;439146.264;7178.40761082778;60003;492.631423387329;1809683;30159.8753395663;128153.365;615.395;13557.444;35059.56;77977.42;287.417332985;342.2983253;331.374251017;1035.708287873;535.254414677;1090.623041177;117.786305049;108.113377655
12;9174;;;Insgesamt;579.1777;4182.51;296.76;707.26;2613.85;2446.62;37888.41;10331.4;546.7;1350.88;7775.03;104280;138697;149370;74745;43.239355581;7.695191677;180.047653579;257.899098726;8672;12949;4752;12222;9346;43251;31344;26834;1321;1427;1217;1286;141;11862;14259;10137;11360;2899;8035;7225;3941;34;8623;661;4;2671;179;3;3635;248;1;1571;38492;20154;18338;7002;339;10450;10700;6204;10799;28548;74.1660604800998;63304;53380;84.3232655124479;-24832;24;110;193;325;182;61;895;871;38842;11075;22258;2644;1654;1552;55;6031;266546;143018;100;139691;97.6;139623;97.6;7451;122.1;170;1299;418;957;621;514;58;49;1124;130;352;642;33869;66059;7759;27252;31048;305704;2136;137284;293447;786;678;108;928;13;1534;1398;974;926;1326;1950;71645;2812553.478;39256.8005862238;501216.91;6995.83934677926;75521;545.093000931092;2402182;31808.1328372241;161370.219;957.407;14532.604;43792.505;101804.852;310.142566059;313.330503156;325.704646203;1094.710763929;556.161211324;1172.940865212;80.508341008;72.970692991
13;9175;;;Insgesamt;549.3654;3698.16;208.96;675.76;2314.13;2159.01;26430.44;20485.26;525.81;598.02;6828.04;96283;127568;137421;68564;42.726130262;7.723723818;175.260753226;250.142890948;8277;12861;4730;10985;7425;39194;28303;25646;1359;1262;1107;1210;52;11536;13041;9977;10592;2449;7687;6897;3835;30;7046;473;5;3481;227;4;4997;330;0;0;37617;20449;17168;5944;523;8678;13987;5491;8937;29729;79.0307573703379;55027;47163;85.7088338452033;-17434;39;154;207;369;97;16;882;843;40484;17105;6044;2966;1506;1429;52;5462;250265;131641;99.9;125414;95.1;125414;95.1;9822;130.6;150;1187;301;557;434;379;19;36;797;120;246;431;32326;60102;7009;22781;30312;286429;2644;186543;398172;621;495;126;690;12;1011;968;867;478;760;1215;65865;2909127.232;44168.0290290746;564061.54;8563.90404615501;68141;527.411202873087;2405421;35300.6413172686;164005.378;734.411;15922.827;46266.526;100825.811;304.019588768;337.022931058;320.807557747;1207.617889831;639.570742734;1296.050755105;44.292886841;46.887457089
14;9176;;;Insgesamt;1214.0533;5039.47;1061.3;474.72;5647.13;5421.14;56304.69;49479.48;869.37;2529.17;11667.97;97347;123421;128805;65284;32.315325588;4.362304632;80.183682715;106.095300853;7729;11710;4485;11262;8336;35702;27584;21997;1205;1325;1027;1187;138;8813;9926;7685;8453;1473;6134;5012;3390;45;7138;477;4;3033;198;4;2976;228;1;1488;36826;20780;16046;3854;271;13352;7063;7764;8376;27926;75.8322924021072;53357;44480;83.3630076653485;-16554;36;217;463;449;223;102;1490;1454;25958;9612;51898;7172;910;848;86;10076;346990;125304;100;124490;99.3;124490;99.3;6224;117.8;145;1643;551;877;462;374;53;35;778;81;247;450;38166;55758;3809;15120;36829;303888;5322;430031;861465;695;551;144;773;12;849;822;717;118;361;735;61954;2287206.096;36917.8115375924;379556.579;6126.4257190819;67537;540.231172259329;2028720;30038.6454832166;134645.64;1644.015;10445.37;39843.505;82482.503;332.886855949;317.779280673;338.242198442;1052.609837706;548.601183589;1111.901763657;105.152155604;113.159691483
15;9177;;;Insgesamt;870.7196;5303.52;431.69;574.05;4460.71;3141.04;60935.85;12634.53;1090.14;1641.47;10579.51;89190;125706;133747;67321;49.957394327;6.396671599;102.43246968;153.605062477;7691;12307;4734;10937;8047;39130;29035;21866;1255;1297;974;1098;199;9929;10619;8640;8933;1686;7292;5657;3400;43;7613;508;4;3203;194;3;3340;238;1;2330;39605;20828;18777;6115;408;9152;13499;6850;9695;28670;72.3898497664436;57561;46652;81.047931759351;-17982;59;286;476;657;307;51;1836;1777;99731;28637;74879;2477;1306;1312;44;3946;157588;128664;99.8;119173;92.4;119158;92.4;10070;133.6;181;1472;416;944;449;363;52;34;815;131;259;425;32590;57637;5700;20270;31667;289621;6117;709414;1136185;719;591;128;803;13;1059;924;784;609;882;1382;64488;2466084.752;38240.9867262126;426012.32;6606.07120704627;67655;532.670398626891;2111910;31215.8746581923;169123.105;1600.149;12501.569;66992.046;87800.376;330.914915221;308.469129076;322.159198613;1275.188160692;875.958364122;1403.268167629;79.090158018;72.687747935
16;9178;;;Insgesamt;799.8318;5566.78;642.53;572.99;4430.09;3540.06;50688.05;15723.3;1402.88;956.56;10865.51;118144;162818;173225;88149;46.621919014;6.391799432;147.71138867;216.57727267;10268;14951;5679;15903;12844;51283;35257;27040;1623;1779;1243;1388;391;16225;17734;15350;15339;2395;9395;7754;4563;41;9035;610;3;3211;192;5;3988;306;1;2236;78401;43746;34655;13134;388;15540;37281;13031;12161;62375;79.5589341972679;75762;59789;78.9168712547187;2586;38;226;369;449;215;69;1366;1328;32700;9057;45097;3207;1852;1690;79;8957;500663;167414;100;162566;97.1;162516;97;15294;126;202;1298;413;1000;386;272;44;70;1081;281;445;355;39234;79321;12161;30640;36520;361840;5448;564027;860286;900;711;189;949;14;1156;1041;770;340;714;1251;86046;3240377.861;37658.6693280338;565449.768;6571.48232340841;90681;545.039819684448;2824157;31143.8669622082;232146.832;1378.241;17624.21;90771.145;122004.544;323.072685676;326.218218212;344.715536174;1356.544588648;850.177501446;1432.531405765;81.612851311;51.362350828
17;9179;;;Insgesamt;434.7939;4550.87;340.37;709.46;2505.45;2081.9;24388.52;9733.81;369.83;881.08;8026.08;172760;201597;213481;104273;23.570849734;5.894928992;397.341245199;490.997953035;12422;18526;6661;15818;11720;58461;43902;45971;1932;1923;1830;1992;-69;16031;17746;14209;14527;3219;10961;9910;5655;44;10691;707;4;3854;248;7;7641;545;1;2181;46969;24380;22589;7334;200;12057;13612;9286;11814;35016;74.5512997934808;82794;70868;85.5955745585429;-35852;17;99;123;197;123;31;590;573;19010;4163;10195;2069;2351;2164;70;5882;261970;206146;99.8;205125;99.3;205125;99.3;12231;128.6;209;1512;408;979;374;308;24;42;806;182;264;360;48285;99034;12431;42934;43669;442630;1916;131915;273779;879;734;145;911;15;1601;1451;1131;344;1234;1502;104744;4192692.566;40027.9974604751;754926.336;7207.34682654854;107947;527.760122813364;3538255;32777.7057259581;242600.914;572.735;21199.173;69549.577;150791.183;302.163074732;325.419642697;348.366657668;1147.103475342;555.441113055;1195.023561398;81.79976185;70.836416553
18;9180;;;Insgesamt;1012.2206;2870.04;165.12;373.8;1963.35;1786.05;22278.64;54246.53;2488.19;16836.39;5325.57;78782;84046;87385;42370;10.920007108;3.972824406;77.830906325;86.330046828;4222;6546;2667;6781;4861;21645;18895;21768;683;711;982;1064;-353;7605;8100;6847;6309;1791;3330;2803;1776;27;4004;263;3;1413;99;4;2506;206;2;1082;26900;12013;14887;3602;225;4454;8784;2872;10565;14265;53.0297397769517;30650;18034;58.8384991843393;-3769;28;162;206;217;41;5;659;631;16751;7247;•;5087;935;899;19;1418;•;84520;99.5;83011;97.7;83011;97.7;23072;147.7;150;860;80;149;76;51;14;11;161;27;67;67;19682;46910;8484;22920;15506;191465;18950;973948;3068830;536;442;94;599;15;1125;955;634;388;828;945;43533;1458505.879;33503.4543679507;236017.746;5421.58238577631;41325;478.653169014084;1055393;25538.8505747126;92173.919;396.4;16149.786;26195.214;46611.345;365.052906886;411.986123409;356.876832841;1064.745105061;576.045535931;1039.734962862;201.072059736;205.619345754
19;9181;;;Insgesamt;804.3774;4699.32;653.85;407.24;3413.61;3047.92;40327.26;23939.33;6134.5;862.63;8862.75;83612;113085;117657;58888;40.717839545;4.042976522;103.945896218;146.270419453;6290;10711;4396;9635;6484;31346;26152;22643;964;1000;953;1069;-69;8586;9129;7416;7531;1598;4912;4346;2843;32;6143;414;4;2789;178;6;3551;271;1;1533;34802;18351;16451;3039;363;11838;8614;4611;9376;25790;74.1049364979024;43774;34773;79.4375656782565;-8983;22;147;256;306;208;51;990;968;43805;18464;6362;4800;1341;1162;58;7857;367754;114351;99.9;112519;98.3;112519;98.3;10153;132.3;197;1326;272;483;319;258;39;22;558;76;182;300;32250;53083;4882;18103;30098;264942;1722;113065;264139;672;524;148;708;10;616;595;681;554;939;1358;56276;2161658.155;38411.7235588883;390195.663;6933.60691946834;57123;498.342435398601;1773825;31052.7283230923;136872.611;962.672;11733.329;49844.229;73621.997;302.127539379;323.139089948;334.325221149;1173.401668296;731.994041802;1253.882362018;89.806066512;95.585077249
20;9182;;;Insgesamt;866.229;3648.32;166.92;418.87;2196.71;2013.06;27350.11;47317.34;1865.45;3659.18;6374.48;80840;93630;98286;48065;21.580900544;4.972765139;93.323943987;113.464091523;5069;8185;2999;7641;5519;25770;21054;22049;808;856;994;1045;-189;8361;9188;7470;7501;1687;4046;3799;2315;28;4665;311;3;2179;138;4;2387;171;1;1361;33152;16434;16718;5075;400;10984;10034;4164;7570;23959;72.2701496138996;36772;27590;75.0299140650495;-3631;15;150;303;442;94;5;1009;994;35861;17421;248;3269;1376;1255;52;5303;221173;92004;96.5;88670;93;88670;93;99283;139.5;232;1310;213;542;196;143;17;36;549;120;237;192;23374;49253;7137;20891;21225;221530;14917;695626;2192441;672;528;144;703;9;964;885;704;311;731;817;48786;1957160.517;40117.2573484196;377912.178;7746.32431435248;46822;489.559916772096;1445760;30877.7924907095;125459.52;655.988;14046.286;45392.424;61987.663;297.51911686;337.729368055;346.975202764;1289.700857337;792.497913197;1323.561997574;92.072254787;101.902224794
21;9183;;;Insgesamt;805.3105;5054.97;345.35;286.27;3086.82;2814.22;51531.6;18345.96;1012.49;867.59;8582.77;92882;106414;112034;56499;20.619711031;5.281259985;115.336950988;139.119096994;6052;9322;3764;9488;6882;29637;24931;21958;994;961;1211;1333;-372;8787;9404;7537;7314;2090;4527;4106;2616;32;6043;413;2;2161;127;3;2353;170;2;2238;36951;20071;16880;3089;227;15949;7919;3457;9399;25549;69.142919000839;43625;32459;74.4045845272206;-6910;67;253;502;758;167;27;1774;1707;98049;32746;44645;4472;1102;996;85;10529;445605;103804;96.3;94107;87.3;93942;87.1;8827;139;156;1330;396;930;289;226;31;32;588;96;194;298;29428;48339;3983;16790;27566;250734;1275;80792;171194;573;453;120;627;18;1638;1363;1157;1047;1333;2134;53326;1742614.651;32678.5180024753;272602.054;5111.99141131906;54693;495.937687020547;1431517;26173.6785329018;112247.979;1679.897;11297.614;39960.05;59017.53;383.97470183;349.293674872;344.213359057;1010.478367722;621.058964387;1058.045632134;117.895318923;123.495031551
22;9184;;;Insgesamt;664.2502;7667.39;420.45;1319.5;4177.21;3929.1;20981.19;29892.82;1102.67;863.79;13459.77;250158;317248;340003;168380;35.915301529;7.17262205;376.602182913;511.859992473;20327;31609;10238;26100;19399;96382;66191;69757;3119;3339;2860;3125;214;30416;34888;27875;28000;6888;21470;19076;9986;64;17452;1134;7;4156;269;15;14427;1024;0;0;210772;124320;86452;36378;401;45217;51084;84297;29771;189886;90.0907141366026;129598;108836;83.9796910446149;81050;27;84;113;185;91;26;526;499;6894;2373;2244;4389;5662;4838;200;28503;1907187;327205;99.9;325799;99.5;325799;99.5;18073;134.6;268;3217;705;1410;653;491;32;130;1773;397;764;612;69044;158233;23564;68635;66034;694659;13783;1226610;2268309;1527;1237;290;1626;32;3543;3240;2550;891;2266;2761;162818;8403381.162;51612.1139063249;1881316.767;11554.7222481544;163807;507.118864449019;6391725;39019.8526314504;944610.085;509.136;40102.638;611471.04;291860.313;259.242135707;260.231793522;294.272396214;2816.032926902;3215.752665156;3528.041289053;0.166312606;0.93375
