"Laufende
Nummer";"Regional-
schlьssel";"Gemeinde-
schlьsselnr.";"Vgem-
schlьssel";Bezeichnung;Spalte001;Spalte002;Spalte003;Spalte004;Spalte005;Spalte006;Spalte007;Spalte008;Spalte009;Spalte010;Spalte011;Spalte012;Spalte013;Spalte014;Spalte015;Spalte016;Spalte017;Spalte018;Spalte019;Spalte020;Spalte021;Spalte022;Spalte023;Spalte024;Spalte025;Spalte026;Spalte027;Spalte028;Spalte029;Spalte030;Spalte031;Spalte032;Spalte033;Spalte034;Spalte035;Spalte036;Spalte037;Spalte038;Spalte039;Spalte040;Spalte041;Spalte042;Spalte043;Spalte044;Spalte045;Spalte046;Spalte047;Spalte048;Spalte049;Spalte050;Spalte051;Spalte052;Spalte053;Spalte054;Spalte055;Spalte056;Spalte057;Spalte058;Spalte059;Spalte060;Spalte061;Spalte062;Spalte063;Spalte064;Spalte065;Spalte066;Spalte067;Spalte068;Spalte069;Spalte070;Spalte071;Spalte072;Spalte073;Spalte074;Spalte075;Spalte076;Spalte077;Spalte078;Spalte079;Spalte080;Spalte081;Spalte082;Spalte083;Spalte084;Spalte085;Spalte086;Spalte087;Spalte088;Spalte089;Spalte090;Spalte091;Spalte092;Spalte093;Spalte094;Spalte095;Spalte096;Spalte097;Spalte098;Spalte099;Spalte100;Spalte101;Spalte102;Spalte103;Spalte104;Spalte105;Spalte106;Spalte107;Spalte108;Spalte109;Spalte110;Spalte111;Spalte112;Spalte113;Spalte114;Spalte115;Spalte116;Spalte117;Spalte118;Spalte119;Spalte120;Spalte121;Spalte122;Spalte123;Spalte124;Spalte125;Spalte126;Spalte127;Spalte128;Spalte129;Spalte130;Spalte131;Spalte132;Spalte133;Spalte134;Spalte135;Spalte136;Spalte137;Spalte138;Spalte139;Spalte140;Spalte141;Spalte142;Spalte143;Spalte144;Spalte145
1;9;;;Bayern;70542,0294;215137,49;90294,05;55574,38;331743,21;309892,61;3279542,15;2488634,01;121263,09;195523,18;847597,21;10902643;12397614;12997204;6438503;19,21149762;4,83633383;154,5552772;184,2476606;727985;1028745;375803;1050962;868775;3428485;2882626;2633823;125689;126191;129552;133902;-7711;1020454;964554;924388;888865;75689;621583;561739;323195;3304;634353;44332;378;220629;15287;430;317405;25091;183;266091;5460683;2962795;2497888;739706;30864;1781137;1175713;1146772;1326161;3583402;65,62186452;5364832;3490799;65,06818853;92603;3653;16155;24504;26817;14073;4960;90162;86509;3185933;1208640;3456293;317507;114263;102795;7408;1294760;66744806;12785620;99,2;12540784;97,3;12524008;97,19848292;914535;130,7;13300;153479;27246;74990;25166;19732;2345;3089;61056;16030;20934;24092;3040234;6371236;864276;2629792;2877168;29130237;557336;37278748;94368996;65042;53140;11902;70267;1362;119441;110300;94703;48003;124370;165449;6655170;269501407,4;40495,04482;49987669,95;7511,10339;6981736;550,1082293;219636646;31458,74407;18712850,29;84824,223;1755453,623;7923046,376;8889702,778;348,3972369;392,6090421;373,702651;1442,057817;897,3056053;1437,44769;166,1031146;180,0782273
2;91;;;Oberbayern;17529,2508;61730,45;22071,67;16503,05;73824,8;65732,03;793033,34;591688,13;50505,33;59783;214795,53;3598126;4328218;4649534;2298601;29,22098893;7,423748064;205,2638815;265,2443202;276628;376859;129579;371142;327821;1297599;966880;903026;48541;48523;40858;42105;6418;400992;365430;361716;353911;11519;243367;217084;120979;1007;226798;15661;128;76787;5485;165;125892;9858;65;88644;2085720;1129245;956475;377284;8452;533487;463734;590861;489179;1306746;62,65203383;1935487;1158228;59,84168326;148518;640;4022;6601;8358;3267;791;23679;23039;947744;369503;388233;65516;46029;39503;1864;364063;23362016;4592735;99,6;4492196;97,5;4491930;97,46265519;327960;142,1;4903;45654;9276;32930;8647;6338;845;1464;24087;6823;9270;7994;906476;2279039;440674;990995;847370;9544280;220606;17308307;40302586;23077;19124;3953;24870;378;36305;33163;27886;18018;45897;58370;2445595;113819957,9;46540,80412;23667741,62;9677,702817;2498092;552,677789;90562600;36252,70807;8425993,866;21403,427;701842,132;3918819,853;3754498,724;328,50186;406,5735957;384,853256;1810,938771;1161,731117;1769,539203;65,22267643;69,76259681
3;92;;;Niederbayern;10326,0526;27893,7;11983,23;5381,26;44693,86;42925,63;530844,36;341311,59;14613,41;17472,46;115805,95;1027374;1172834;1230037;616309;19,72631194;4,877331319;99,49351349;119,119799;65053;97163;37296;101705;78324;316007;285878;248611;10836;10947;12925;13366;-2419;94793;93115;85111;80000;13115;49249;44512;28954;392;61784;4291;41;23667;1627;37;25505;2028;18;25872;469040;259692;209348;54564;4814;189740;97374;63676;113434;327418;69,8059867;502161;360782;71,8458821;-33364;526;3015;4182;4584;2425;653;15385;14859;472177;152288;1233212;47060;10571;9820;825;132101;5939807;1165777;95,9;1126845;92,7;1125422;92,58175811;75024;121,5;1653;23073;3846;7594;3643;3010;348;285;6856;1200;2165;3491;353606;574978;52967;188130;333881;2987045;76569;3149179;12008341;6216;5169;1047;7077;155;13177;11880;10852;3817;10029;13847;615864;22101816,07;35887,49476;3573886,296;5803,044659;648356;541,3984124;18197024;28066,40796;1432779,721;15289,879;132764,656;589460,946;692621,2;347,658358;355,5329182;348,8595861;1170,265716;782,1030237;1222,642081;216,2739741;224,6538328
4;93;;;Oberpfalz;9690,2094;22794,59;10038,34;5067,67;45560,19;43669,85;402513,28;402817,14;14741,17;30523,39;105467,52;969868;1070965;1104407;550060;13,87188772;3,12260438;100,0874078;113,9714206;58218;85315;32529;91869;73748;284864;257063;220801;9818;9982;11776;11945;-1963;77018;74024;68773;66189;7835;43539;41475;26436;338;53541;3734;35;18941;1302;34;23658;1884;12;24308;460896;253945;206951;44787;2613;183983;92236;68174;113886;313652;68,05266264;457642;310563;67,86155991;3089;195;2091;3254;3237;1995;529;11301;11106;433771;165331;270941;25367;8196;7407;738;138915;6556313;1091835;99,6;1051262;95,9;1046949;95,53125539;74470;125,6;1265;17641;2701;5911;2559;2063;254;242;5040;996;1652;2392;297266;544391;53935;203377;287079;2660317;38955;2087363;5332174;5304;4378;926;6072;156;12518;11626;10068;4644;10498;14195;549336;20199188,37;36770,18869;3356347,322;6109,825903;592023;546,7716329;17046985;28794,46407;1332889,954;8992,638;120350,858;544676,149;656895,098;327,045215;341,4006609;364,1919711;1209,889008;763,3173911;1241,022904;203,8553242;214,8468731
5;94;;;Oberfranken;7231,1549;22983,74;9119,02;6044,95;34776,09;32771,78;310601,31;289186,9;7170,73;18012,98;86581,55;1036576;1063454;1066840;524731;2,919612262;0,31839647;143,3487066;147,5339331;53313;79082;30936;85258;65496;260975;255087;236693;8920;9073;12856;13403;-4330;72153;72678;65014;63823;8855;47771;44603;24382;317;48870;3447;27;16323;1108;36;25700;2027;17;22684;427111;225633;201478;26982;2347;164480;89793;61174;109317;292507;68,48500741;434469;300019;69,05417878;-7512;339;1645;1945;1824;1247;729;7729;7390;228851;89625;228381;22272;7545;7106;817;121392;4943392;1055994;99,6;1035987;97,7;1028934;97,04416028;66196;125,8;944;11455;1495;3532;1357;1176;83;98;2952;816;703;1433;290268;544172;50433;214329;279410;2653126;36433;2065636;5061097;5674;4275;1399;5740;141;11499;11049;9481;3602;9117;13210;532247;18721974,54;35175,35005;3049625,375;5729,718298;576276;545,739165;15749869;27330,42674;1245650,623;6655,757;119353,525;497170,08;619819,074;355,0360037;359,7089123;351,815039;1169,830405;745,5460546;1213,61635;240,0585004;268,3374003
6;95;;;Mittelfranken;7243,6909;23938,99;11363,48;7060,14;40300,4;36973,66;342799,79;243189,33;9616,68;20380,89;99643,72;1521484;1682297;1759643;866773;15,65307292;4,59764239;210,0426716;242,9208042;99771;138308;50025;141381;118828;462434;389774;359122;17539;17371;18659;19456;-2085;141011;132404;127840;121288;11116;93419;85156;44445;394;86899;6113;42;26613;1838;57;44816;3612;28;37600;778373;418739;359634;100254;3849;246740;157876;177184;192709;489747;62,91932017;732517;444294;60,65306334;45453;367;1710;2452;2213;1503;682;8927;8560;304079;108358;469499;53915;15505;14432;1027;192032;9634178;1735432;99,5;1730600;99,3;1729195;99,17372198;85113;125;1276;14876;3155;9004;2858;2304;168;386;8295;2720;2746;2829;391636;878784;107083;404184;367517;3932493;49900;4093265;8272936;8842;7244;1598;9470;192;17730;16650;13563;8121;20895;27847;903255;34596392,54;38301,91091;6109919,953;6764,335601;962175;560,9712015;28825337;29958,51794;2390445,454;9552,234;277142,321;897671,854;1199291,738;392,8149361;450,5326495;395,2035322;1362,078734;730,4029429;1303,464834;251,6560315;282,4798959
7;96;;;Unterfranken;8530,0464;23619,5;11049,34;8098,85;47103,22;44739,12;364849,13;339111,59;7543,5;22303,34;103411,81;1202711;1300647;1313375;650316;9,201212926;0,978589886;140,9969461;153,9703753;69160;100385;38201;106405;83051;322978;312113;281082;11794;11968;13988;14648;-2680;94841;91344;89041;84343;7001;63532;56264;31785;370;61310;4349;45;23391;1599;44;30648;2485;17;26191;515915;279814;236101;41497;3819;189107;111498;74094;137392;374955;72,67766977;536270;395454;73,7415854;-20499;986;1561;1911;1876;1183;929;8446;7460;119621;31806;335424;57812;10249;9624;839;138081;6445467;1306935;99,8;1301354;99,4;1301013;99,39462327;77541;121,5;1176;13846;2357;5259;2180;1769;230;181;4932;1318;1308;2306;348449;653214;58938;263581;330695;3161964;42245;2959758;7142693;6159;4808;1351;6399;155;12506;11477;9914;3915;12146;16314;666047;24440133,94;36694,30827;4140566,966;6216,628805;714005;549,7213302;20410843;28586,41466;1561190,079;8665,497;157700,492;581973,462;809731,568;346,5286737;355,8519972;355,0394255;1190,252613;718,1110239;1229,236293;217,9139859;239,0264546
8;97;;;Schwaben;9991,6244;32176,52;14668,98;7418,47;45484,65;43080,53;534900,95;281329,32;17072,28;27047,11;121891,13;1546504;1779199;1873368;931713;21,13567117;5,292775007;154,7801057;187,4939199;105842;151633;57237;153202;121507;483628;415831;384488;18241;18327;18490;18979;-652;139646;135559;126893;119311;16248;80706;72645;46214;486;95151;6737;60;34907;2328;57;41186;3197;26;40792;723628;395727;327901;94338;4970;273600;163202;111609;170244;478377;66,10813844;766286;521459;68,0501797;-43082;600;2111;4159;4725;2453;647;14695;14095;679690;291729;530603;45565;16168;14903;1298;208176;9863634;1836912;99,2;1802540;97,3;1800565;97,23449272;208231;125,4;2083;26934;4416;10760;3922;3072;417;433;8894;2157;3090;3647;452533;896658;100246;365196;431216;4191012;92628;5615240;16249169;9770;8142;1628;10639;185;15706;14455;12939;5886;15788;21666;942826;35621944,12;37782,09778;6089582,416;6458,861355;990809;544,0206317;28843989;29111,55329;2323900,588;14264,791;246299,639;893274,032;1156845,376;367,9500612;391,6002482;356,7129265;1245,24538;762,2070111;1266,404801;203,3511308;216,6623216
9;9171;;;Insgesamt;569,2853;1978,9;1131,79;339,51;2458,4;2274,59;30679,14;16327,8;1093,85;654,09;7520,02;94216;106023;110338;54467;17,11174323;4,069871632;165,4973739;193,8168596;6117;9107;3309;8637;6401;27332;25546;23889;1061;1034;1127;1232;-198;8363;7941;7318;6831;1110;4612;4214;2750;34;6106;432;3;2406;155;4;2339;183;1;2573;45989;28308;17681;6199;538;23553;7140;5266;9492;35030;76,17038857;44364;33449;75,39671806;1581;25;159;281;300;146;28;939;914;45468;16059;29557;1275;878;842;57;16016;942985;105954;97,2;98093;90;98060;89,9740336;4684;130;110;1428;275;685;231;172;29;30;480;79;170;231;29118;51624;4626;19323;27675;257511;2205;123928;267515;547;453;94;621;15;1424;1322;1215;560;1300;1413;56310;2099061,983;37276,89545;355843,95;6319,374001;59315;551,9471456;1726313;29104,15578;199756,385;923,169;10892,481;113261,279;74507,927;319,7864093;309,4046978;323,7670109;1816,495571;1612,336189;2039,753074;127,8506111;144,4282616
10;9172;;;Insgesamt;839,8317;1605,4;562,35;333,38;2210,72;2040,08;18721,63;41061,13;1539,06;13103,16;5924,61;90689;100827;105052;51603;15,83764293;4,19034584;107,9849493;125,08722;5486;7809;2883;8274;6809;26233;22762;24796;882;957;1208;1160;-203;8402;7748;7454;6942;806;3670;3395;2321;27;4699;334;4;2066;137;4;2154;175;1;1384;35196;18051;17145;6025;307;10527;10093;3523;10746;22963;65,24320946;35361;23155;65,48174543;-192;25;297;371;231;40;0;964;939;34221;14354;2434;2076;989;934;57;5807;243775;104150;99,8;99687;95,5;99687;95,54420334;9135;138,9;110;1409;144;508;133;93;14;26;396;91;155;150;22272;52836;8334;24593;19909;226861;16646;743689;2888290;602;495;107;667;12;1281;1153;1013;508;1068;1260;50427;1785090,5;35399,49828;288066,146;5712,537847;50500;490,4055314;1369678;27122,33663;109080,127;589,676;13404,735;38760,261;55566,581;331,5189098;342,9329598;338,5086016;1040,344559;675,0631283;1101,146876;198,4313972;204,5236311
11;9173;;;Insgesamt;1110,6707;2189,39;639,54;564,93;2670,1;2578,1;31490,16;59458,52;4171,36;3542,51;7422,38;98579;119178;126572;62408;28,39651447;6,204165198;88,75633627;113,9600421;7286;10664;3989;9865;7205;32076;28605;26882;1185;1227;1286;1221;6;10511;9739;9611;8854;885;5332;4857;3098;34;6493;467;5;2789;185;7;3569;309;1;1995;36699;19150;17549;5675;386;12240;8820;4910;10342;24055;65,54674514;49789;37175;74,66508667;-13120;18;144;266;470;124;10;1032;1014;42914;19163;481;1935;1408;1238;82;7559;357410;124902;99,6;119413;95,2;119413;95,19455361;9188;136,7;316;1930;257;895;176;119;30;27;443;98;156;189;27971;60358;9293;25610;25455;268556;8211;387686;1200979;762;570;192;780;13;1008;946;867;569;1198;1524;64919;2855085,701;43979,20025;584673,208;9006,195536;64740;524,8905465;2156118;33304,26321;151752,168;640,858;14202,6;47272,453;88742,957;305,4133525;351,303158;352,0434544;1201,845057;633,311905;1237,794624;110,7927075;122,6613947
12;9174;;;Insgesamt;579,1649;2084,79;730,1;726,15;2616,47;2448,47;37858,01;9618,45;544,73;1257,3;7828,3;104280;138697;152703;76431;46,43555811;10,09827177;180,0538711;263,6628911;9144;13151;4540;12185;9505;42746;33515;27917;1515;1508;1332;1355;153;13366;12273;12016;10557;1716;8811;7937;4203;33;8906;688;4;2607;188;3;3545;247;1;1607;41087;21630;19457;8805;425;11118;11457;6423;11664;30578;74,42256675;67064;56575;84,35971609;-25997;20;105;164;298;191;70;848;828;36167;10472;20983;2137;1548;1391;61;6305;297234;149915;100;147185;98,2;147098;98,09672429;8058;130,3;190;1418;399;999;490;413;32;45;1160;375;325;460;34714;67697;8158;27689;31850;312751;2367;153613;333751;824;699;125;973;13;1592;1380;1027;901;1356;2037;77979;3506323,907;44964,97656;667434,964;8559,162903;83573;571,3260277;2976141;35611,27398;193236,683;1011,841;15862,694;60295,88;115707,336;325,1364856;327,1242659;330,6972807;1272,608438;702,9743156;1357,281297;88,57072107;103,2185845
13;9175;;;Insgesamt;549,3996;1926,54;624,19;693,13;2319,4;2164,56;26295,65;20072,33;503,61;546,23;6888,53;96283;127568;140800;70285;46,23557637;10,37250721;175,2511831;256,2795777;8800;12959;4586;11040;7708;38917;30446;26344;1383;1315;1168;1185;130;12970;11785;11571;10146;1639;8380;7421;4192;31;7214;486;5;3282;218;4;4968;342;Ц;Ц;39795;21847;17948;7066;513;8894;14886;6170;9332;31524;79,21598191;58246;50018;85,87370807;-18494;25;150;217;331;108;16;847;822;39579;16820;5003;2471;1460;1293;56;5604;267090;138362;99,9;133436;96,3;133436;96,32768566;10735;131,6;155;1177;248;730;289;227;28;34;579;115;196;268;32803;61024;7155;23127;30742;290488;2864;214513;445152;617;474;143;635;12;911;860;832;406;777;1331;71265;3555624,505;49892,99804;730006,069;10243,54268;75061;556,5309588;2911743;38791,68943;185868,967;826,48;18054,863;52155,209;114541,79;329,6268526;363,3530283;328,6767536;1327,379484;680,7173188;1400,500925;48,52281346;67,5196192
14;9176;;;Insgesamt;1213,8387;2649,05;1217,17;517,1;5719,46;5493,34;55762,7;48314,28;878,96;2555,27;11931,53;97347;123421;131646;66929;35,23375143;6,664181946;80,1962335;108,454162;8446;11701;4281;11343;8532;35525;28913;22905;1430;1445;1092;1102;343;10649;9448;8953;8938;510;6509;5596;3775;45;7291;494;4;2772;186;4;2841;210;1;1536;39449;22169;17280;5064;305;14147;7910;9130;7956;30304;76,8181703;55831;46710;83,66319786;-16406;21;208;392;400;216;120;1357;1336;21477;8223;45839;6045;1004;842;91;10701;391589;130094;100;129295;99,4;129295;99,36367898;6558;124,5;156;1793;535;984;555;460;56;39;925;154;251;520;39257;57500;4059;15601;37840;312561;5350;444473;865906;678;532;146;732;11;692;669;616;123;381;800;65438;2994755,731;45764,78088;569241,418;8698,942786;72647;571,1736078;2634341;36262,21317;152501,757;1644,451;11015,324;45787,661;93800,503;336,0748072;320,8070528;338,9556783;1160,856794;603,7833371;1223,542696;112,927944;113,6772728
15;9177;;;Insgesamt;870,7484;2102,06;868;604,56;4496,44;3171,54;60764,82;11619,85;1103,33;1630,23;10666,86;89190;125706;136884;69075;53,47460478;8,892176984;102,4289406;157,2024117;8235;12099;4457;11281;8563;38255;31130;22864;1336;1407;1109;1109;298;10861;10277;9369;9120;1157;7094;5940;3664;42;7548;515;4;3091;201;3;3176;221;1;2414;43919;23157;20762;8879;446;9283;15005;8637;10546;32729;74,52127781;60669;49512;81,61004797;-16783;37;253;481;574;313;62;1720;1683;94083;26810;67307;1648;1321;1234;44;3876;155732;134651;99,8;124656;92,4;124639;92,38609157;10677;131,6;195;1624;414;999;523;390;67;66;1141;289;375;477;33398;59261;6046;20814;32401;296563;6675;840950;1272987;754;600;154;803;9;743;717;676;578;938;1393;69808;3053359,815;43739,39685;563134,334;8066,902561;74480;564,9314694;2561876;34396,83136;196582,123;1646,136;12880,82;81923,168;99879,395;335,6988015;313,6369834;322,0997355;1444,384119;1004,860258;1587,479938;78,0569724;94,1107975
16;9178;;;Insgesamt;799,8536;2503,29;1103,47;625,63;4448,07;3558,22;50508,82;14957,63;1409,08;959,92;10935,26;118144;162818;177997;90805;50,66105769;9,322679311;147,7076952;222,5379759;10810;15110;5321;16331;13282;51394;37864;27885;1836;1904;1347;1412;492;19155;16957;17011;15378;1579;9692;8245;4783;41;9153;611;5;3075;194;5;3793;286;1;2301;80812;45302;35510;14927;431;15717;38786;13068;12809;64241;79,49438202;80510;63987;79,47708359;254;40;210;321;421;207;75;1274;1234;29239;7844;35319;2544;1672;1486;82;9237;538435;174367;100;168908;96,9;168908;96,85202812;16150;129;214;1377;369;1069;414;307;51;56;1023;332;323;368;40017;81306;12673;31390;37243;369846;5467;641851;959267;902;745;157;986;11;899;851;692;358;732;1401;92637;3932513,771;42450,78933;731192,078;7893,088917;98688;579,3011147;3376990;34218,85133;282482,763;1420,497;19476,332;121740,175;139444,411;330,6665022;345,4411012;348,5284675;1598,983171;1049,856117;1673,90731;65,98007517;74,83633471
17;9179;;;Insgesamt;434,8047;2912,99;779,5;735,32;2526,14;2091,24;24195,97;9346,47;372,61;766,35;8106,37;172760;201597;217831;106671;26,0887937;8,052699197;397,3321067;500,9912603;13002;18869;6429;16343;12385;57478;46481;46844;2142;2184;1998;2078;106;20184;17478;16882;16644;834;11520;10352;5897;44;11158;735;4;3791;252;7;7302;523;1;2327;49533;25686;23847;8790;214;12718;14175;9657;12769;37276;75,25488058;86993;74766;85,94484614;-37490;13;95;107;172;117;41;545;532;18221;3787;9340;2177;2134;2216;75;5934;277506;214819;99,8;213961;99,4;213961;99,43442173;12010;132,4;205;1572;444;923;312;244;28;40;803;290;244;269;49069;100878;12993;43562;44323;449676;2089;132044;282701;927;765;162;978;15;1727;1602;1314;296;1278;1567;110750;5003343,496;45176,91644;951037,255;8587,243837;116575;554,3851473;4172347;35791,09586;275484,941;572,869;22071,612;81091,872;171262,214;310,9734119;329,1844309;350,5468604;1266,422751;607,5174551;1314,015704;76,37751115;75,9889776
18;9180;;;Insgesamt;1012,2057;1648,91;379,65;394,25;1971,67;1797,48;19547,86;51123,84;2447,68;16755,55;5351,31;78782;84046;88155;42755;11,89738773;4,888989363;77,83167525;87,09161142;4546;6436;2479;6811;5067;20849;19938;22029;809;803;1054;1056;-253;9074;7560;8259;6996;564;3494;2992;1904;27;3890;263;3;1459;103;4;2351;197;2;1125;28300;12791;15509;4188;187;4674;9199;2953;11287;15371;54,31448763;32145;19231;59,82578939;-3860;15;155;202;203;50;5;630;615;16917;7052;117;4705;848;823;19;1649;Х;87793;99,6;86546;98,2;86546;98,16478381;26900;149,5;153;868;88;275;99;56;27;16;198;33;74;91;19857;47288;8547;23068;15673;193122;18868;1117129;3334812;473;368;105;487;15;1131;865;714;334;804;882;44859;1679768,094;37445,50913;289385,186;6450,995029;42968;500,0290931;1226474;28543,89313;104112,088;404,45;16640,243;30621,717;53151,241;373,867628;415,8155275;357,296463;1183,307056;635,8904005;1154,88382;184,7012639;234,4921153
19;9181;;;Insgesamt;804,3663;2450,56;986,89;450,51;3428,51;3063,02;40104,1;23057,72;6125,47;857,36;8957,5;83612;113085;119141;59673;42,4927044;5,35526374;103,9484808;148,11716;6613;10457;4045;9708;6623;30247;27986;23462;1074;1058;1058;1039;19;9049;7974;7942;7560;414;5090;4652;3099;29;5972;402;4;2662;170;6;3369;282;1;1630;37094;19566;17528;3845;380;12362;9163;4963;10226;27823;75,00673963;46014;36758;79,88438301;-8935;26;146;238;272;201;54;937;911;41525;17706;6584;3898;1252;1155;63;8439;401898;118246;99,9;116388;98,3;116388;98,34137439;9923;133,7;190;1380;359;795;260;204;34;22;486;78;139;269;32803;54041;5000;18413;30628;269602;1617;113124;267378;662;528;134;712;10;623;608;731;535;970;1339;59591;2652393,694;44509,9712;518746,397;8705,113138;61248;527,4634424;2117932;34579,61076;155597,914;973,659;12168,92;57884,273;83748,845;306,7995337;327,9474569;331,9683164;1306,974381;836,23861;1400,01706;86,67540235;110,1034921
20;9182;;;Insgesamt;866,2202;2068,56;534,39;433,95;2212,81;2029,88;27009,12;46234,92;1868,24;3602,61;6441,25;80840;93630;99189;48558;22,69792182;5,937199616;93,32502136;114,5078617;5352;8141;2902;7312;5530;25049;22500;22403;908;908;996;1036;-128;9110;7832;8438;7335;497;4479;4117;2378;28;4718;313;3;2164;139;4;2606;185;1;1340;34994;17452;17542;6004;450;11245;10485;4809;8005;25640;73,26970338;38631;29302;75,85100049;-3662;14;148;295;424;92;5;978;964;35717;17672;257;2736;1250;1165;60;5761;245689;96065;97,3;90965;92,1;90959;92,10758154;90316;144,4;242;1503;208;506;178;134;20;24;387;64;131;192;23746;50015;7250;21184;21581;224959;14802;720637;2271816;714;573;141;791;8;926;831;676;327;696;857;51672;2456841,254;47546,85814;527435,973;10207,38452;50439;521,2094282;1751948;34733,99552;144633,132;620,92;14248,458;55487,038;70672,626;297,1620005;339,7982596;346,9822101;1460,041106;937,7383632;1501,735506;80,14443626;96,22274529
21;9183;;;Insgesamt;805,3332;2001,24;934,28;300,9;3139,58;2873,01;51421,28;17918,07;1013,65;796,53;8658,28;92882;106414;114486;57961;23,25961973;7,585468078;115,3340866;142,1603566;6547;9427;3525;9496;7252;29440;26138;22661;1105;1088;1309;1313;-225;10216;9252;8789;7820;1432;4976;4592;2905;32;6262;429;2;1951;126;3;2304;165;2;2306;39789;21874;17915;4785;255;17370;8513;3733;9917;27780;69,81829149;46802;35045;74,87927866;-7265;55;241;460;669;190;36;1651;1596;92703;31547;42455;3853;1062;983;88;10824;472808;108531;96,6;99395;88,5;99289;88,37157556;9282;142,4;179;1479;348;893;358;289;33;36;757;168;251;338;30137;49814;4304;17318;28192;257145;1513;88494;197457;571;454;117;617;17;1483;1310;1257;1075;1427;2193;56010;2130656,832;38040,65046;360412,902;6434,795608;58116;526,9094074;1722065;29631,51284;133399,536;1705,402;12536,557;51422,058;67401,308;379,6776729;355,1596575;351,2061272;1171,620478;738,8418658;1215,384159;139,7837676;153,4296851
22;9184;;;Insgesamt;664,2589;4293,79;1757,19;1408,84;4246,78;4010,88;20311,8;28924,2;1114,24;717,2;13657,16;250158;317248;346433;172236;38,48567705;9,199427577;376,5965134;521,5322314;20851;32169;10053;27291;19790;94325;71083;70871;3326;3223;3025;3055;168;35179;32537;31963;29762;2775;22331;19698;10083;64;17730;1163;7;4209;296;16;14608;1049;Ц;Ц;224487;133024;91463;43584;420;48259;53064;91361;31383;202837;90,35578898;136773;115269;84,27759865;87568;20;76;108;171;96;23;494;474;6661;2408;2021;4655;5690;4744;208;30424;2154335;341536;99,9;340386;99,6;340386;99,60175217;21930;143,4;293;3755;694;1946;629;527;49;53;1137;168;352;617;70165;160585;23944;69523;67118;705196;14378;1239889;2337971;1441;1180;261;1579;26;2720;2490;2109;861;2383;2817;174864;10129653,55;57928,75347;2387122,11;13651,30679;179520;539,4230769;7760715;43230,3643;956833,846;542,807;43912,911;576217,842;335430,604;282,3208472;276,5407244;285,1540574;2774,364267;3124,839146;3523,193422;4,290671646;0,376173815
23;9185;;;Insgesamt;739,7163;1991,23;1028,61;421,45;3369,5;3012,16;44612,05;16795,41;1340,97;1535,18;8743,1;76493;90593;96164;48421;25,7160786;6,149481748;103,4080463;130,0005407;5813;8202;3049;7736;5838;25596;21818;18112;978;960;917;923;37;6987;6073;5927;5720;353;4042;3740;2598;25;4984;337;4;2266;146;2;1800;129;1;1352;32271;18426;13845;4087;239;14777;6134;3724;7397;20840;64,57810418;41369;29958;72,41654379;-9118;33;185;352;332;198;72;1172;1139;26532;9237;26756;3819;795;693;75;7777;297668;95482;99,9;94006;98,4;94006;98,39541967;6769;137,8;141;3217;347;652;303;245;34;24;571;97;193;281;27387;43057;3250;13701;26106;223322;1136;64962;147708;498;424;74;572;11;858;799;605;275;562;1120;48140;1883774,489;39131,16928;321617,534;6680,879393;51750;553,4463398;1614546;31198,95652;104832,779;1154,786;8554,861;34863,083;60080,765;317,6861559;318,3699269;337,5187673;1092,827735;629,7438704;1161,966412;138,1536152;155,4175924
24;9186;;;Insgesamt;761,0455;2571,28;1183,34;484,06;4339,01;3546,76;43958;18419,02;1333,05;871,94;10530,03;88449;116116;126244;64299;42,73083924;8,722312171;116,2212236;165,8813481;7604;10530;3836;10026;8102;34653;28896;22597;1252;1310;1071;1179;131;10639;10007;9796;8984;1023;5856;5189;3484;33;6668;460;3;2565;165;2;1905;135;1;1822;40311;23447;16864;5889;375;16027;10649;4709;8551;29576;73,36955174;54609;43894;80,37869216;-14318;50;256;333;389;169;51;1248;1198;20236;7106;43111;1769;1176;1104;66;10463;672749;124720;99,8;121928;97,6;121928;97,57908974;5952;129,8;161;1697;492;1348;259;177;24;58;626;127;262;237;35483;55407;4323;17234;33850;288934;2117;155291;276562;733;557;176;747;12;1080;1003;748;396;724;1297;64239;2822662,363;43940,01094;526886,97;8201,979639;68828;566,0476668;2363671;34341,70686;166408,249;1336,482;12419,228;63030,326;89418,633;310,9052081;317,8082458;321,5501387;1325,106895;892,6269181;1453,902987;58,57892516;63,22463294
